Ranking,Name,Token,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Circulating Supply
2943,DarkShield Games Studio,DKS,$0.0001014,0.65%,4.73%,4.32%,"$108,202","$748,934
7,428,290,240 DKS","1,073,204,810 DKS"
2944,enqAI,enqAI,$0.02195,3.40%,59.81%,214.40%,"$21,950,673","$745,229
33,950,149 ENQAI","1,000,000,000 enqAI"
2962,Dtec,DTEC,$0.09071,0.18%,2.66%,3.66%,"$1,112,180","$676,818
7,462,622 DTEC","12,262,949 DTEC"
2999,Arbius,AIUS,$37.83,0.17%,24.68%,31.98%,"$6,273,292","$595,924
15,751 AIUS","165,815 AIUS"
3143,NeuralAI,NEURAL,$4.85,0.20%,17.71%,52.62%,"$48,525,466","$323,695
66,706 NEURAL","10,000,000 NEURAL"
3194,Work X,WORK,$0.1218,0.37%,14.17%,32.46%,"$2,303,556","$287,288
2,358,362 WORK","18,909,998 WORK"
3233,Roko,ROKO,$0.00003059,0.03%,20.68%,71.02%,"$5,987,855","$250,954
8,203,274,369 ROKO","195,732,940,071 ROKO"
3271,Octavia AI,VIA,$0.06063,2.85%,8.33%,20.45%,"$530,501","$229,339
3,782,684 VIA","8,750,000 VIA"
3312,Grow Token,GROW,$0.3302,0.35%,10.37%,13.76%,"$3,301,653","$206,774
626,274 GROW","10,000,000 GROW"
3353,CorgiAI,CORGIAI,$0.0008569,0.38%,0.12%,9.52%,"$294,371,852","$185,530
216,511,845 CORGIAI","343,529,984,547 CORGIAI"
3396,DeepFakeAI,FAKEAI,$0.008588,0.91%,21.85%,123.63%,"$8,200,496","$169,844
19,777,551 FAKEAI","954,907,650 FAKEAI"
3472,AI Network,AIN,$0.01103,2.30%,33.18%,10.57%,"$2,810,230","$145,296
13,175,210 AIN","254,826,635 AIN"
3566,Metafluence,METO,$0.0002802,1.05%,8.22%,4.35%,"$505,882","$124,771
445,262,864 METO","1,805,308,983 METO"
3662,BilliCat,BCAT,$0.003144,0.03%,6.25%,24.64%,"$314,415","$104,224
33,148,579 BCAT","100,000,000 BCAT"
3677,infraX,INFRA,$8.87,4.94%,4.86%,26.36%,"$8,870,893","$101,091
11,396 INFRA","1,000,000 INFRA"
3712,Y8U,Y8U,$0.01201,0.03%,3.62%,10.58%,"$294,812","$94,941
7,906,050 Y8U","24,550,000 Y8U"
3736,EpiK Protocol,AIEPK,$0.004409,0.50%,16.37%,26.96%,"$1,763,725","$90,015
20,414,827 AIEPK","400,000,000 AIEPK"
4035,Tradetomato,TTM,$0.007133,0.23%,4.79%,3.60%,"$450,858","$48,302
6,771,730 TTM","63,208,516 TTM"
4108,AI PIN,AI,$0.02084,0.47%,7.19%,22.55%,"$844,279","$40,427
1,939,492 AI","40,504,778 AI"
4146,Jackal Protocol,JKL,$0.1678,0.12%,6.12%,10.90%,"$12,329,543","$36,949
220,190 JKL","73,474,865 JKL"
4187,Ring AI,RING,$0.03778,0.51%,0.98%,0.25%,"$3,778,289","$33,214
879,072 RING","100,000,000 RING"
4201,AstraAI,ASTRA,$1.27,1.32%,22.03%,34.17%,"$12,722,400","$31,724
24,936 ASTRA","10,000,000 ASTRA"
4241,2DAI.io,2DAI,$0.001801,0.00%,31.51%,58.95%,"$1,800,933","$28,462
15,803,908 2DAI","1,000,000,000 2DAI"
4426,AimBot AI,AIMBOT,$1.15,0.00%,5.07%,125.66%,"$1,146,524","$18,840
16,432 AIMBOT","1,000,000 AIMBOT"
4456,AlphaKEK.AI,AIKEK,$0.005189,0.00%,32.50%,43.10%,"$1,192,210","$17,670
3,405,314 AIKEK","229,757,533 AIKEK"
4573,PaladinAI,PALAI,$0.02541,0.00%,16.18%,13.25%,"$2,540,540","$13,216
520,194 PALAI","100,000,000 PALAI"
4584,Human,HMT,$0.03565,1.31%,8.62%,7.48%,"$8,220,369","$12,905
361,940 HMT","230,553,677 HMT"
4597,AlphaScan AI,ASCN,$0.02173,0.14%,1.14%,1.64%,"$315,455","$12,659
582,659 ASCN","14,520,000 ASCN"
4790,Zus,ZCN,$0.04868,0.02%,7.30%,0.51%,"$5,597,362","$8,259
169,686 ZCN","115,000,000 ZCN"
4877,MOROS NET,MOROS,$0.000852,0.00%,19.23%,40.78%,"$851,990","$6,951
8,159,112 MOROS","1,000,000,000 MOROS"
4976,Next Gem AI,GEMAI,$0.00169,0.56%,2.23%,0.13%,"$289,535","$5,646
3,339,847 GEMAI","171,275,000 GEMAI"
5126,The Winkyverse,WNK,$0.0002946,0.03%,0.62%,0.41%,"$1,598,631","$4,120
13,987,521 WNK","5,427,211,701 WNK"
5133,Lavita AI,LAVITA,$0.005948,1.09%,1.93%,2.88%,"$10,526,758","$4,082
686,256 LAVITA","1,769,822,115 LAVITA"
5457,Cloudbric,CLBK,$0.001744,0.08%,5.05%,10.77%,"$1,245,225","$2,061
1,182,013 CLBK","714,209,731 CLBK"
5492,KWAI,KWAI,$0.06355,0.00%,3.09%,1.76%,"$2,176,519","$1,961
30,852 KWAI","34,250,000 KWAI"
5494,Eternal AI,EAI,$0.009226,0.39%,2.58%,13.17%,"$738,074","$1,954
211,745 EAI","80,000,000 EAI"
5542,Kambria,KAT,$0.00023,0.00%,4.03%,2.22%,"$407,976","$1,756
7,636,079 KAT","1,774,005,799 KAT"
5821,Vuzz AI,VUZZ,$0.001432,0.01%,16.96%,7.34%,"$143,180","$955
666,851 VUZZ","100,000,000 VUZZ"
5870,Flourishing AI,AI,$0.04224,1.19%,1.31%,8.88%,"$1,541,565","$868
20,551 AI","36,498,847 AI"
5872,AutoCrypto,AU,$0.01726,0.00%,3.49%,13.54%,"$1,161,282","$859
49,793 AU","67,286,267 AU"
5940,VirtuSwap,VRSW,$0.0007093,0.06%,0.97%,5.17%,"$261,695","$718
1,011,907 VRSW","368,949,787 VRSW"
5954,Liza,LIZA,$0.0006439,0.00%,4.54%,26.88%,"$491,284","$692
1,073,992 LIZA","762,964,046 LIZA"
6117,Hera Finance,HERA,$1.35,0.00%,0.04%,1.92%,"$5,702,086","$493
367 HERA","4,238,000 HERA"
6133,Purple AI,PAI,$0.1841,0.00%,2.22%,16.44%,"$184,109","$479
2,602 PAI","1,000,000 PAI"
6146,Acria.AI,ACRIA,$0.007362,0.00%,1.14%,13.25%,"$957,055","$464
63,043 ACRIA","130,000,000 ACRIA"
6166,Multiverse,AI,$0.00009212,0.00%,41.50%,22.29%,"$93,499","$446
4,839,426 AI","1,014,942,802 AI"
6230,Aventis Metaverse,AVTM,$0.0001982,0.01%,0.99%,10.83%,"$38,462","$397
2,003,375 AVTM","194,088,542 AVTM"
6271,Santiment Network Token,SAN,$0.09115,0.00%,4.29%,17.08%,"$5,711,414","$367
4,022 SAN","62,660,371 SAN"
6393,Chat AI,AI,$0.0003768,0.00%,4.67%,2.90%,"$35,496","$285
756,177 AI","94,200,000 AI"
6411,Oracle AI,ORACLE,$0.000221,0.00%,3.78%,11.61%,"$193,998","$274
1,241,034 ORACLE","877,943,572 ORACLE"
6469,Website AI,WEBAI,$0.06248,0.00%,4.39%,10.07%,"$60,545","$238
3,809 WEBAI","969,000 WEBAI"
6778,Trace Network Labs,TRACE,$0.0008871,3.61%,7.00%,10.88%,"$88,302","$115
129,598 TRACE","99,519,870 TRACE"
7144,Aion,AION,$0.00168,0.02%,6.17%,4.99%,"$884,078","$46
27,117 AION","526,304,878 AION"
7562,Artificial Intelligence,AI,$0.061407,0.00%,2.58%,12.79%,"$137,172","$10
72,500,278 AI","975,000,000,000 AI"
7984,AITK,AITK,$0.0114044,0.00%,45.67%,58.43%,$0,"$0
37,095,085,221 AITK","99,999,999 AITK"
8233,EncrypGen,DNA,$0.002198,0.11%,0.86%,0.97%,"$155,920",,"70,938,084 DNA"
8246,AICHAIN,AIT,$0.0022,0.37%,1.47%,8.18%,"$1,178,193",,"535,067,071 AIT"
8256,Neurotoken,NTK,$0.0006423,0.24%,0.78%,11.46%,"$50,588",,"78,906,618 NTK"
8273,Seele-N,SEELE,$0.0004119,0.02%,0.04%,0.01%,"$9,640,291",,"23,400,000,000 SEELE"
8756,inheritance Art,IAI,$0.2952,0.00%,1.62%,12.74%,"$4,575,100",,"15,500,000 IAI"
8879,Ushi,USHI,$0.00001287,0.00%,0.00%,21.24%,"$270,184",,"21,000,000,000 USHI"
8916,Neuroni AI,NEURONI,$0.2306,0.00%,6.86%,20.92%,"$1,960,254",,"8,499,000 NEURONI"
9006,AiONE,AIONE,$0.00005262,0.00%,0.00%,4.31%,"$2,555,242",,"48,561,111,090 AIONE"
9243,InspireAI,INSP,$0.02172,0.99%,12.11%,18.79%,"$216,700",,"10,000,000 INSP"
9367,Resistor AI,TOR,$0.00007362,0.00%,0.00%,17.57%,"$63,310",,"860,000,000 TOR"
